system:index,area,class,ring,state,year,.geo
1_1_1_1_2_5,1.830225760977807E7,5,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_6,1.0464347798301983E9,6,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_7,2.216082727884498E7,7,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_8,4278.77734375,8,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0,7366528.719619333,0,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_1,1.9723989018905666E8,1,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_2,1051195.2947351793,2,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_3,4258.28369140625,3,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_4,3.193859505702286E9,4,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_5,1.1556771521629903E7,5,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_6,4.061320021206035E8,6,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_7,7.275654290925245E7,7,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_8,0,8,8-10km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,7783283.402906709,0,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,1.969271368553356E8,1,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,760882.3516074985,2,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,27672.180908203125,3,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,3.2431670549609947E9,4,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,1.227824274215495E7,5,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_6,4.263991432870281E8,6,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_7,2621130.72996515,7,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
